ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
1,11466,,สถานพยาบาลทัณฑสถานหญิงกลาง,,ลาดยาว,เขตจตุจักร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงยุติธรรม
2,11467,,สถานพยาบาลเรือนจำพิเศษกรุงเทพมหานคร,,ลาดยาว,เขตจตุจักร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงยุติธรรม
3,11468,,ทัณฑสถานโรงพยาบาลราชทัณฑ์,,ลาดยาว,เขตจตุจักร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงยุติธรรม
4,11469,,โรงพยาบาลเลิดสิน,,สีลม,เขตบางรัก,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์
5,11470,,โรงพยาบาลนพรัตนราชธานี,,คันนายาว,เขตคันนายาว,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์
6,11471,,โรงพยาบาลสงฆ์,,ทุ่งพญาไท,เขตราชเทวี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์
7,11472,,โรงพยาบาลราชวิถี,,ทุ่งพญาไท,เขตราชเทวี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์
8,11477,,โรงพยาบาลทหารผ่านศึก,,สามเสนใน,เขตพญาไท,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม
9,11478,,โรงพยาบาลสมเด็จพระปิ่นเกล้า,,บุคคโล,เขตธนบุรี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม
10,11479,,โรงพยาบาลทหารเรือกรุงเทพ,,บางนา,เขตบางนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม
11,11481,,โรงพยาบาลพระมงกุฎเกล้า,,ทุ่งพญาไท,เขตราชเทวี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม
12,11482,,โรงพยาบาลภูมิพลอดุลยเดช,,คลองถนน,เขตสายไหม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม
13,11531,,โรงพยาบาลการไฟฟ้านครหลวง,,ถนนนครไชยศรี,เขตดุสิต,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงมหาดไทย / สำนักงานตำรวจแห่งชาติ
14,11535,,โรงพยาบาลวชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,,วชิรพยาบาล,เขตดุสิต,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
15,11536,,โรงพยาบาลเวชการุณย์รัศมิ์,,กระทุ่มราย,เขตหนองจอก,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
16,11537,,โรงพยาบาลกลาง,,วัดเทพศิรินทร์,เขตป้อมปราบศัตรูพ่าย,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
17,11538,,โรงพยาบาลนคราภิบาล,,ลาดกระบัง,เขตลาดกระบัง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
